date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,2,0,0,2
2020-03-06,7,0,0,7
2020-03-07,7,0,0,7
2020-03-08,16,0,0,16
2020-03-09,16,0,0,16
2020-03-10,31,0,0,31
2020-03-11,57,0,0,57
2020-03-12,89,0,0,89
2020-03-13,141,0,0,141
2020-03-14,181,0,1,180
2020-03-15,219,0,1,218
2020-03-16,253,0,1,252
2020-03-17,275,0,1,274
2020-03-18,275,0,1,274
2020-03-19,286,0,1,285
2020-03-20,341,0,1,340
2020-03-21,383,0,1,382
2020-03-22,414,0,2,412
2020-03-23,442,0,3,439
2020-03-24,480,0,4,476
2020-03-25,528,10,5,513
2020-03-26,562,10,6,546
2020-03-27,632,10,9,613
2020-03-28,684,10,9,665
2020-03-29,730,10,11,709
2020-03-30,756,10,11,735
2020-03-31,802,10,15,777
2020-04-01,841,10,15,816
2020-04-02,897,70,17,810
2020-04-03,934,70,20,844
