date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,3,0,0,3
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,3,0,0,3
2020-03-06,0,0,0,0
2020-03-07,3,0,0,3
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,2,0,0,2
2020-03-11,0,3,0,-3
2020-03-12,0,0,0,0
2020-03-13,4,0,1,3
2020-03-14,0,0,0,0
2020-03-15,8,3,0,5
2020-03-16,5,0,0,5
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,16,0,0,16
2020-03-20,0,0,0,0
2020-03-21,9,5,0,4
2020-03-22,12,-1,0,13
2020-03-23,7,0,0,7
2020-03-24,15,0,0,15
2020-03-25,6,0,1,5
2020-03-26,29,5,1,23
2020-03-27,43,0,0,43
2020-03-28,17,0,1,16
2020-03-29,27,0,0,27
2020-03-30,64,11,0,53
2020-03-31,25,0,1,24
2020-04-01,61,0,0,61
2020-04-02,41,0,0,41
2020-04-03,43,6,0,37
