date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,0,0,1
2020-02-26,2,0,0,2
2020-02-27,0,0,0,0
2020-02-28,2,0,0,2
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,0,0,0,0
2020-03-03,2,0,0,2
2020-03-04,1,0,0,1
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,2,0,0,2
2020-03-11,5,0,0,5
2020-03-12,0,0,0,0
2020-03-13,13,1,0,12
2020-03-14,6,0,0,6
2020-03-15,11,0,0,11
2020-03-16,8,1,0,7
2020-03-17,8,2,0,6
2020-03-18,16,0,0,16
2020-03-19,24,1,1,22
2020-03-20,23,0,0,23
2020-03-21,78,0,0,78
2020-03-22,48,0,0,48
2020-03-23,61,0,0,61
2020-03-24,67,0,0,67
2020-03-25,60,17,0,43
2020-03-26,53,0,2,51
2020-03-27,91,15,0,76
2020-03-28,71,8,2,61
2020-03-29,56,7,1,48
2020-03-30,77,15,0,62
2020-03-31,77,0,0,77
2020-04-01,96,6,0,90
2020-04-02,48,15,1,32
2020-04-03,68,4,1,63
