date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,5,0,0,5
2020-02-25,5,0,0,5
2020-02-26,5,0,0,5
2020-02-27,5,0,0,5
2020-02-28,5,0,0,5
2020-02-29,5,0,0,5
2020-03-01,5,0,0,5
2020-03-02,5,0,0,5
2020-03-03,5,0,0,5
2020-03-04,5,0,0,5
2020-03-05,5,0,0,5
2020-03-06,5,0,0,5
2020-03-07,8,0,0,8
2020-03-08,8,0,0,8
2020-03-09,8,0,0,8
2020-03-10,8,0,0,8
2020-03-11,11,0,0,11
2020-03-12,11,0,0,11
2020-03-13,11,0,0,11
2020-03-14,14,0,0,14
2020-03-15,20,0,0,20
2020-03-16,25,1,0,24
2020-03-17,26,1,0,25
2020-03-18,26,1,0,25
2020-03-19,26,1,0,25
2020-03-20,24,1,0,23
2020-03-21,24,1,0,23
2020-03-22,34,1,0,33
2020-03-23,40,1,1,38
2020-03-24,42,1,1,40
2020-03-25,74,2,1,71
2020-03-26,80,2,2,76
2020-03-27,91,2,2,87
2020-03-28,106,2,2,102
2020-03-29,114,2,4,108
2020-03-30,114,2,4,108
2020-03-31,166,5,4,157
2020-04-01,192,5,4,183
2020-04-02,235,10,4,221
2020-04-03,269,10,5,254
