date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,4,0,0,4
2020-03-11,7,0,0,7
2020-03-12,7,0,0,7
2020-03-13,16,0,0,16
2020-03-14,11,0,0,11
2020-03-15,2,0,0,2
2020-03-16,7,1,0,6
2020-03-17,10,0,0,10
2020-03-18,18,0,0,18
2020-03-19,20,0,0,20
2020-03-20,32,0,1,31
2020-03-21,36,0,0,36
2020-03-22,51,0,1,50
2020-03-23,27,0,1,26
2020-03-24,54,14,0,40
2020-03-25,81,0,1,80
2020-03-26,0,-15,-3,18
2020-03-27,73,0,0,73
2020-03-28,202,0,9,193
2020-03-29,82,0,3,79
2020-03-30,44,0,3,41
2020-03-31,115,0,0,115
2020-04-01,160,0,12,148
2020-04-02,111,0,3,108
2020-04-03,305,0,8,297
